"","Date","Oil","Gas","Misc","Total","X..Oil","X..Gas"
"84",1989-02-17,392,350,24,766,0.511749347258486,0.456919060052219
"85",1989-02-24,391,341,25,757,0.516512549537649,0.450462351387054
"86",1989-03-03,400,337,24,761,0.525624178712221,0.442838370565046
"87",1989-03-10,398,327,18,743,0.535666218034993,0.440107671601615
"88",1989-03-17,405,314,21,740,0.547297297297297,0.424324324324324
"89",1989-03-24,424,320,22,766,0.553524804177546,0.417754569190601
"90",1989-03-31,417,341,21,779,0.535301668806162,0.437740693196406
"91",1989-04-07,429,325,24,778,0.551413881748072,0.417737789203085
"92",1989-04-14,433,304,21,758,0.571240105540897,0.401055408970976
"93",1989-04-21,430,317,20,767,0.560625814863103,0.413298565840939
"94",1989-04-28,426,305,20,751,0.567243675099867,0.40612516644474
"95",1989-05-05,436,311,17,764,0.570680628272251,0.407068062827225
"96",1989-05-12,451,310,10,771,0.584954604409857,0.402075226977951
"97",1989-05-19,425,304,8,737,0.576662143826323,0.412483039348711
"98",1989-05-26,419,323,7,749,0.559412550066756,0.431241655540721
"99",1989-06-02,429,341,14,784,0.54719387755102,0.434948979591837
"100",1989-06-09,427,353,11,791,0.539823008849558,0.446270543615676
"101",1989-06-16,409,367,19,795,0.514465408805031,0.461635220125786
"102",1989-06-23,428,368,14,810,0.528395061728395,0.454320987654321
"103",1989-06-30,439,364,14,817,0.537331701346389,0.445532435740514
"104",1989-07-07,436,373,16,825,0.528484848484848,0.452121212121212
"105",1989-07-14,424,382,14,820,0.517073170731707,0.465853658536585
"106",1989-07-21,417,399,14,830,0.502409638554217,0.480722891566265
"107",1989-07-28,445,413,12,870,0.511494252873563,0.474712643678161
"108",1989-08-04,445,420,9,874,0.509153318077803,0.480549199084668
"109",1989-08-11,433,414,11,858,0.504662004662005,0.482517482517483
"110",1989-08-18,426,463,14,903,0.471760797342193,0.512735326688815
"111",1989-08-25,442,456,11,909,0.486248624862486,0.501650165016502
"112",1989-09-01,451,474,11,936,0.481837606837607,0.506410256410256
"113",1989-09-08,449,490,11,950,0.472631578947368,0.515789473684211
"114",1989-09-15,468,486,11,965,0.484974093264249,0.503626943005181
"115",1989-09-22,472,485,10,967,0.488107549120993,0.501551189245088
"116",1989-09-29,480,489,9,978,0.49079754601227,0.5
"117",1989-10-06,468,485,7,960,0.4875,0.505208333333333
"118",1989-10-13,498,475,8,981,0.507645259938838,0.484199796126402
"119",1989-10-20,502,480,10,992,0.506048387096774,0.483870967741936
"120",1989-10-27,516,482,12,1010,0.510891089108911,0.477227722772277
"121",1989-11-03,539,491,12,1042,0.517274472168906,0.471209213051823
"122",1989-11-10,545,487,13,1045,0.521531100478469,0.466028708133971
"123",1989-11-17,529,499,12,1040,0.508653846153846,0.479807692307692
"124",1989-11-24,516,514,7,1037,0.497589199614272,0.49566055930569
"125",1989-12-01,534,522,6,1062,0.502824858757062,0.491525423728814
"126",1989-12-08,528,523,7,1058,0.499054820415879,0.494328922495274
"127",1989-12-15,552,519,8,1079,0.511584800741427,0.481000926784059
"128",1989-12-22,548,505,8,1061,0.516493873704053,0.475966069745523
"129",1989-12-29,533,502,7,1042,0.511516314779271,0.481765834932822
"130",1990-01-05,532,488,9,1029,0.517006802721089,0.47424684159378
"131",1990-01-12,527,484,8,1019,0.517173699705594,0.474975466143278
"132",1990-01-19,494,462,8,964,0.512448132780083,0.479253112033195
"133",1990-01-26,482,447,8,937,0.514407684098186,0.477054429028815
"134",1990-02-02,489,434,8,931,0.525241675617616,0.466165413533835
"135",1990-02-09,495,397,7,899,0.550611790878754,0.441601779755284
"136",1990-02-16,498,413,7,918,0.542483660130719,0.449891067538126
"137",1990-02-23,485,405,7,897,0.540691192865106,0.451505016722408
"138",1990-03-02,478,409,7,894,0.534675615212528,0.457494407158837
"139",1990-03-09,482,435,6,923,0.522210184182015,0.471289274106176
"140",1990-03-16,479,424,5,908,0.527533039647577,0.466960352422908
"141",1990-03-23,474,414,5,893,0.530795072788354,0.463605823068309
"142",1990-03-30,516,425,5,946,0.545454545454545,0.449260042283298
"143",1990-04-06,487,445,5,937,0.51974386339381,0.474919957310566
"144",1990-04-13,483,447,4,934,0.517130620985011,0.478586723768737
"145",1990-04-20,462,467,3,932,0.495708154506438,0.501072961373391
"146",1990-04-27,472,451,4,927,0.509169363538296,0.486515641855448
"147",1990-05-04,475,450,5,930,0.510752688172043,0.483870967741936
"148",1990-05-11,479,458,4,941,0.509032943676939,0.486716259298619
"149",1990-05-18,504,465,3,972,0.518518518518519,0.478395061728395
"150",1990-05-25,514,485,2,1001,0.513486513486514,0.484515484515485
"151",1990-06-01,507,475,1,983,0.515768056968464,0.483214649033571
"152",1990-06-08,496,489,6,991,0.50050454086781,0.493440968718466
"153",1990-06-15,491,500,8,999,0.491491491491492,0.500500500500501
"154",1990-06-22,496,516,9,1021,0.485798237022527,0.505386875612145
"155",1990-06-29,491,516,13,1020,0.481372549019608,0.505882352941176
"156",1990-07-06,487,509,15,1011,0.481701285855589,0.503461918892186
"157",1990-07-13,491,495,15,1001,0.490509490509491,0.494505494505495
"158",1990-07-20,509,496,17,1022,0.498043052837573,0.4853228962818
"159",1990-07-27,508,466,22,996,0.51004016064257,0.467871485943775
"160",1990-08-03,494,457,15,966,0.511387163561077,0.473084886128364
"161",1990-08-10,507,472,13,992,0.511088709677419,0.475806451612903
"162",1990-08-17,511,459,17,987,0.517730496453901,0.465045592705167
"163",1990-08-24,510,475,17,1002,0.508982035928144,0.474051896207585
"164",1990-08-31,544,453,15,1012,0.537549407114625,0.447628458498024
"165",1990-09-07,570,454,15,1039,0.548604427333975,0.436958614051973
"166",1990-09-14,579,466,15,1060,0.54622641509434,0.439622641509434
"167",1990-09-21,572,467,16,1055,0.54218009478673,0.442654028436019
"168",1990-09-28,560,470,17,1047,0.534861509073544,0.448901623686724
"169",1990-10-05,590,456,18,1064,0.554511278195489,0.428571428571429
"170",1990-10-12,588,453,15,1056,0.556818181818182,0.428977272727273
"171",1990-10-19,597,480,12,1089,0.548209366391185,0.440771349862259
"172",1990-10-26,607,488,12,1107,0.5483288166215,0.440831074977416
"173",1990-11-02,620,513,11,1144,0.541958041958042,0.448426573426573
"174",1990-11-09,614,480,30,1124,0.54626334519573,0.427046263345196
"175",1990-11-16,606,474,23,1103,0.549410698096102,0.42973708068903
"176",1990-11-23,620,513,42,1175,0.527659574468085,0.436595744680851
"177",1990-11-30,639,495,41,1175,0.543829787234043,0.421276595744681
"178",1990-12-07,646,495,38,1179,0.547921967769296,0.419847328244275
"179",1990-12-14,657,457,37,1151,0.570807993049522,0.397046046915726
"180",1990-12-21,634,427,28,1089,0.5821854912764,0.392102846648301
"181",1990-12-28,639,424,23,1086,0.588397790055249,0.390423572744015
"182",1991-01-04,651,432,25,1108,0.587545126353791,0.389891696750903
"183",1991-01-11,612,413,23,1048,0.583969465648855,0.394083969465649
"184",1991-01-18,631,410,24,1065,0.592488262910798,0.384976525821596
"185",1991-01-25,639,396,16,1051,0.607992388201713,0.376784015223597
"186",1991-02-01,574,409,13,996,0.576305220883534,0.410642570281125
"187",1991-02-08,575,408,14,997,0.576730190571715,0.409227683049147
"188",1991-02-15,553,407,17,977,0.566018423746162,0.416581371545548
"189",1991-02-22,555,397,15,967,0.573940020682523,0.410548086866598
"190",1991-03-01,529,400,20,949,0.557428872497366,0.421496311907271
"191",1991-03-08,534,394,20,948,0.563291139240506,0.415611814345992
"192",1991-03-15,513,374,21,908,0.564977973568282,0.411894273127753
"193",1991-03-22,503,389,19,911,0.552140504939627,0.427003293084523
"194",1991-03-29,500,393,17,910,0.54945054945055,0.431868131868132
"195",1991-04-05,480,382,19,881,0.54483541430193,0.433598183881952
"196",1991-04-12,472,383,19,874,0.540045766590389,0.438215102974828
"197",1991-04-19,450,367,18,835,0.538922155688623,0.439520958083832
"198",1991-04-26,444,347,33,824,0.538834951456311,0.421116504854369
"199",1991-05-03,425,350,30,805,0.527950310559006,0.434782608695652
"200",1991-05-10,418,353,31,802,0.521197007481297,0.440149625935162
"201",1991-05-17,422,352,44,818,0.515892420537897,0.430317848410758
"202",1991-05-24,451,361,34,846,0.533096926713948,0.426713947990544
"203",1991-05-31,435,352,37,824,0.527912621359223,0.427184466019417
"204",1991-06-07,463,344,43,850,0.544705882352941,0.404705882352941
"205",1991-06-14,479,345,47,871,0.549942594718714,0.39609644087256
"206",1991-06-21,485,340,41,866,0.560046189376444,0.392609699769053
"207",1991-06-28,505,337,39,881,0.573212258796822,0.382519863791146
"208",1991-07-05,488,332,39,859,0.568102444703143,0.386495925494761
"209",1991-07-12,467,338,39,844,0.553317535545024,0.400473933649289
"210",1991-07-19,462,328,38,828,0.557971014492754,0.396135265700483
"211",1991-07-26,470,329,46,845,0.556213017751479,0.389349112426036
"212",1991-08-02,485,314,32,831,0.583634175691937,0.377858002406739
"213",1991-08-09,452,318,26,796,0.5678391959799,0.399497487437186
"214",1991-08-16,447,326,24,797,0.560853199498118,0.409033877038896
"215",1991-08-23,434,332,26,792,0.547979797979798,0.419191919191919
"216",1991-08-30,438,339,22,799,0.548185231539424,0.424280350438048
"217",1991-09-06,436,336,26,798,0.546365914786967,0.421052631578947
"218",1991-09-13,419,309,30,758,0.552770448548813,0.407651715039578
"219",1991-09-20,440,303,27,770,0.571428571428571,0.393506493506494
"220",1991-09-27,436,306,33,775,0.56258064516129,0.394838709677419
"221",1991-10-04,434,320,32,786,0.552162849872774,0.407124681933842
"222",1991-10-11,438,317,41,796,0.550251256281407,0.398241206030151
"223",1991-10-18,427,340,30,797,0.535759096612296,0.426599749058971
"224",1991-10-25,432,341,28,801,0.539325842696629,0.425717852684145
"225",1991-11-01,432,335,26,793,0.544766708701135,0.422446406052963
"226",1991-11-08,436,329,31,796,0.547738693467337,0.413316582914573
"227",1991-11-15,455,322,26,803,0.566625155666252,0.400996264009963
"228",1991-11-22,476,333,19,828,0.57487922705314,0.402173913043478
"229",1991-11-29,484,321,17,822,0.588807785888078,0.39051094890511
"230",1991-12-06,498,299,17,814,0.611793611793612,0.367321867321867
"231",1991-12-13,479,306,17,802,0.597256857855362,0.381546134663342
"232",1991-12-20,465,312,20,797,0.583437892095358,0.391468005018821
"233",1991-12-27,433,316,21,770,0.562337662337662,0.41038961038961
"234",1992-01-03,427,313,24,764,0.55890052356021,0.409685863874346
"235",1992-01-10,405,312,15,732,0.55327868852459,0.426229508196721
"236",1992-01-17,412,291,13,716,0.575418994413408,0.406424581005587
"237",1992-01-24,383,291,12,686,0.558309037900875,0.424198250728863
"238",1992-01-31,375,265,13,653,0.57427258805513,0.405819295558959
"239",1992-02-07,383,277,14,674,0.568249258160237,0.410979228486647
"240",1992-02-14,370,279,12,661,0.559757942511347,0.422087745839637
"241",1992-02-21,373,280,14,667,0.559220389805098,0.419790104947526
"242",1992-02-28,387,273,13,673,0.575037147102526,0.405646359583952
"243",1992-03-06,382,262,16,660,0.578787878787879,0.396969696969697
"244",1992-03-13,384,249,16,649,0.591679506933744,0.38366718027735
"245",1992-03-20,380,245,18,643,0.590979782270607,0.381026438569207
"246",1992-03-27,377,242,20,639,0.589984350547731,0.378716744913928
"247",1992-04-03,382,253,23,658,0.580547112462006,0.384498480243161
"248",1992-04-10,373,251,24,648,0.575617283950617,0.387345679012346
"249",1992-04-17,369,250,20,639,0.577464788732394,0.391236306729264
"250",1992-04-24,355,251,17,623,0.569823434991974,0.402889245585875
"251",1992-05-01,354,260,20,634,0.558359621451104,0.410094637223975
"252",1992-05-08,361,256,18,635,0.568503937007874,0.403149606299213
"253",1992-05-15,371,262,19,652,0.569018404907976,0.401840490797546
"254",1992-05-22,361,257,20,638,0.565830721003135,0.40282131661442
"255",1992-05-29,344,263,22,629,0.546899841017488,0.4181240063593
"256",1992-06-05,331,256,23,610,0.542622950819672,0.419672131147541
"257",1992-06-12,335,242,19,596,0.562080536912752,0.406040268456376
"258",1992-06-19,352,264,16,632,0.556962025316456,0.417721518987342
"259",1992-06-26,353,276,16,645,0.547286821705426,0.427906976744186
"260",1992-07-03,340,291,17,648,0.524691358024691,0.449074074074074
"261",1992-07-10,343,306,18,667,0.51424287856072,0.458770614692654
"262",1992-07-17,352,320,17,689,0.51088534107402,0.4644412191582
"263",1992-07-24,351,318,19,688,0.510174418604651,0.462209302325581
"264",1992-07-31,357,317,16,690,0.517391304347826,0.459420289855072
"265",1992-08-07,356,329,24,709,0.502115655853315,0.464033850493653
"266",1992-08-14,330,326,22,678,0.486725663716814,0.480825958702065
"267",1992-08-21,334,336,19,689,0.484760522496372,0.48766328011611
"268",1992-08-28,315,333,20,668,0.471556886227545,0.498502994011976
"269",1992-09-04,342,345,19,706,0.484419263456091,0.488668555240793
"270",1992-09-11,325,346,16,687,0.473071324599709,0.503639010189229
"271",1992-09-18,348,356,16,720,0.483333333333333,0.494444444444444
"272",1992-09-25,366,377,12,755,0.48476821192053,0.499337748344371
"273",1992-10-02,364,381,11,756,0.481481481481481,0.503968253968254
"274",1992-10-09,377,399,11,787,0.479034307496823,0.506988564167726
"275",1992-10-16,393,399,11,803,0.489414694894147,0.496886674968867
"276",1992-10-23,415,403,12,830,0.5,0.485542168674699
"277",1992-10-30,410,415,13,838,0.489260143198091,0.495226730310263
"278",1992-11-06,412,429,12,853,0.483001172332943,0.502930832356389
"279",1992-11-13,430,440,15,885,0.485875706214689,0.497175141242938
"280",1992-11-20,407,469,14,890,0.457303370786517,0.526966292134832
"281",1992-11-27,421,466,12,899,0.468298109010011,0.518353726362625
"282",1992-12-04,432,470,12,914,0.472647702407002,0.514223194748359
"283",1992-12-11,425,494,11,930,0.456989247311828,0.531182795698925
"284",1992-12-18,381,528,26,935,0.407486631016043,0.564705882352941
"285",1992-12-23,378,525,25,928,0.407327586206897,0.56573275862069
"286",1992-12-30,368,527,27,922,0.399132321041215,0.571583514099783
"287",1993-01-08,356,515,32,903,0.394241417497231,0.570321151716501
"288",1993-01-15,336,467,35,838,0.400954653937948,0.55727923627685
"289",1993-01-22,325,434,35,794,0.409319899244333,0.546599496221663
"290",1993-01-29,321,401,40,762,0.421259842519685,0.526246719160105
"291",1993-02-05,304,374,42,720,0.422222222222222,0.519444444444445
"292",1993-02-12,307,350,41,698,0.439828080229226,0.501432664756447
"293",1993-02-19,306,313,37,656,0.466463414634146,0.477134146341463
"294",1993-02-26,327,300,36,663,0.493212669683258,0.452488687782805
"295",1993-03-05,311,277,32,620,0.501612903225806,0.446774193548387
"296",1993-03-12,312,257,31,600,0.52,0.428333333333333
"297",1993-03-19,318,270,26,614,0.517915309446254,0.439739413680782
"298",1993-03-26,320,267,23,610,0.524590163934426,0.437704918032787
"299",1993-03-31,326,278,23,627,0.519936204146731,0.443381180223286
"300",1993-04-08,314,278,23,615,0.510569105691057,0.452032520325203
"301",1993-04-16,319,262,22,603,0.529021558872305,0.434494195688226
"302",1993-04-23,320,265,23,608,0.526315789473684,0.435855263157895
"303",1993-04-30,319,268,22,609,0.523809523809524,0.440065681444992
"304",1993-05-07,319,278,20,617,0.517017828200972,0.450567260940032
"305",1993-05-14,316,283,20,619,0.510500807754443,0.45718901453958
"306",1993-05-21,321,298,22,641,0.500780031201248,0.464898595943838
"307",1993-05-28,334,315,22,671,0.497764530551416,0.469448584202683
"308",1993-06-04,340,325,21,686,0.495626822157434,0.473760932944606
"309",1993-06-11,365,327,19,711,0.513361462728551,0.459915611814346
"310",1993-06-18,344,321,16,681,0.505139500734214,0.47136563876652
"311",1993-06-25,351,335,16,702,0.5,0.477207977207977
"312",1993-07-02,364,353,15,732,0.497267759562842,0.48224043715847
"313",1993-07-09,353,346,14,713,0.495091164095372,0.485273492286115
"314",1993-07-16,362,346,12,720,0.502777777777778,0.480555555555556
"315",1993-07-23,376,376,13,765,0.491503267973856,0.491503267973856
"316",1993-07-30,385,380,11,776,0.496134020618557,0.489690721649485
"317",1993-08-06,389,377,10,776,0.501288659793814,0.485824742268041
"318",1993-08-13,404,371,11,786,0.513994910941476,0.472010178117048
"319",1993-08-20,400,395,10,805,0.496894409937888,0.490683229813665
"320",1993-08-27,396,417,9,822,0.481751824817518,0.507299270072993
"321",1993-09-03,405,419,10,834,0.485611510791367,0.502398081534772
"322",1993-09-10,405,421,9,835,0.48502994011976,0.504191616766467
"323",1993-09-17,423,422,11,856,0.494158878504673,0.492990654205608
"324",1993-09-24,440,420,6,866,0.508083140877598,0.484988452655889
"325",1993-10-01,427,422,7,856,0.498831775700935,0.492990654205608
"326",1993-10-08,435,414,7,856,0.508177570093458,0.483644859813084
"327",1993-10-15,443,409,8,860,0.515116279069767,0.475581395348837
"328",1993-10-22,450,402,8,860,0.523255813953488,0.467441860465116
"329",1993-10-29,452,410,8,870,0.519540229885057,0.471264367816092
"330",1993-11-05,444,418,8,870,0.510344827586207,0.480459770114943
"331",1993-11-12,453,412,7,872,0.519495412844037,0.472477064220184
"332",1993-11-19,449,401,7,857,0.52392065344224,0.467911318553092
"333",1993-11-26,465,400,6,871,0.533869115958668,0.459242250287026
"334",1993-12-03,443,427,6,876,0.505707762557078,0.487442922374429
"335",1993-12-10,443,417,8,868,0.51036866359447,0.480414746543779
"336",1993-12-17,445,433,5,883,0.5039637599094,0.490373725934315
"337",1993-12-22,408,430,5,843,0.483985765124555,0.510083036773428
"338",1993-12-29,385,423,6,814,0.472972972972973,0.51965601965602
"339",1994-01-07,357,442,8,807,0.442379182156134,0.547707558859975
"340",1994-01-14,365,420,7,792,0.460858585858586,0.53030303030303
"341",1994-01-21,356,413,9,778,0.457583547557841,0.530848329048843
"342",1994-01-28,345,423,10,778,0.443444730077121,0.543701799485861
"343",1994-02-04,335,405,12,752,0.445478723404255,0.538563829787234
"344",1994-02-11,346,406,12,764,0.452879581151832,0.531413612565445
"345",1994-02-18,337,403,12,752,0.44813829787234,0.535904255319149
"346",1994-02-25,330,406,11,747,0.441767068273092,0.543507362784471
"347",1994-03-04,322,412,9,743,0.433378196500673,0.554508748317631
"348",1994-03-11,320,405,8,733,0.43656207366985,0.552523874488404
"349",1994-03-18,330,404,9,743,0.44414535666218,0.543741588156124
"350",1994-03-25,323,391,11,725,0.44551724137931,0.539310344827586
"351",1994-03-31,320,402,10,732,0.437158469945355,0.549180327868853
"352",1994-04-08,309,390,10,709,0.435825105782793,0.550070521861777
"353",1994-04-15,303,407,10,720,0.420833333333333,0.565277777777778
"354",1994-04-22,318,403,11,732,0.434426229508197,0.550546448087432
"355",1994-04-29,326,393,11,730,0.446575342465753,0.538356164383562
"356",1994-05-06,323,383,13,719,0.44923504867872,0.532684283727399
"357",1994-05-13,319,388,15,722,0.441828254847645,0.537396121883657
"358",1994-05-20,314,369,14,697,0.450502152080344,0.529411764705882
"359",1994-05-27,314,398,15,727,0.43191196698762,0.547455295735901
"360",1994-06-03,316,410,16,742,0.425876010781671,0.55256064690027
"361",1994-06-10,328,410,14,752,0.436170212765957,0.545212765957447
"362",1994-06-17,342,409,18,769,0.444733420026008,0.53185955786736
"363",1994-06-24,341,402,18,761,0.448094612352168,0.528252299605782
"364",1994-07-01,333,415,18,766,0.434725848563969,0.54177545691906
"365",1994-07-08,340,412,16,768,0.442708333333333,0.536458333333333
"366",1994-07-15,337,421,15,773,0.435963777490298,0.544631306597671
"367",1994-07-22,344,420,15,779,0.441591784338896,0.539152759948652
"368",1994-07-29,349,407,15,771,0.452658884565499,0.527885862516213
"369",1994-08-05,336,421,14,771,0.43579766536965,0.546044098573281
"370",1994-08-12,311,428,14,753,0.413014608233732,0.568393094289509
"371",1994-08-19,320,438,14,772,0.414507772020725,0.567357512953368
"372",1994-08-26,312,443,13,768,0.40625,0.576822916666667
"373",1994-09-02,308,463,13,784,0.392857142857143,0.590561224489796
"374",1994-09-09,306,463,13,782,0.391304347826087,0.592071611253197
"375",1994-09-16,326,467,11,804,0.40547263681592,0.580845771144279
"376",1994-09-23,339,484,13,836,0.405502392344498,0.578947368421053
"377",1994-09-30,348,476,14,838,0.41527446300716,0.568019093078759
"378",1994-10-07,343,472,13,828,0.414251207729469,0.570048309178744
"379",1994-10-14,348,467,13,828,0.420289855072464,0.564009661835749
"380",1994-10-21,336,471,12,819,0.41025641025641,0.575091575091575
"381",1994-10-28,341,459,13,813,0.419434194341943,0.564575645756458
"382",1994-11-04,355,456,13,824,0.430825242718447,0.553398058252427
"383",1994-11-11,365,454,14,833,0.438175270108043,0.545018007202881
"384",1994-11-18,357,468,14,839,0.425506555423123,0.557806912991657
"385",1994-11-25,367,461,14,842,0.435866983372922,0.54750593824228
"386",1994-12-02,359,454,14,827,0.43409915356711,0.548972188633616
"387",1994-12-09,361,465,15,841,0.429250891795482,0.552913198573127
"388",1994-12-16,350,442,15,807,0.433705080545229,0.547707558859975
"389",1994-12-23,351,448,14,813,0.431734317343173,0.551045510455105
"390",1994-12-30,348,428,15,791,0.439949431099874,0.541087231352718
"391",1995-01-05,328,425,13,766,0.428198433420366,0.554830287206266
"392",1995-01-13,339,407,11,757,0.44782034346103,0.537648612945839
"393",1995-01-20,319,408,9,736,0.433423913043478,0.554347826086957
"394",1995-01-27,315,405,11,731,0.430916552667579,0.554035567715458
"395",1995-02-03,319,393,12,724,0.44060773480663,0.542817679558011
"396",1995-02-10,321,375,10,706,0.454674220963173,0.531161473087819
"397",1995-02-17,336,376,12,724,0.464088397790055,0.519337016574586
"398",1995-02-24,326,355,15,696,0.468390804597701,0.510057471264368
"399",1995-03-03,333,337,14,684,0.486842105263158,0.492690058479532
"400",1995-03-10,334,330,11,675,0.494814814814815,0.488888888888889
"401",1995-03-17,326,328,13,667,0.488755622188906,0.491754122938531
"402",1995-03-24,313,327,12,652,0.480061349693252,0.501533742331288
"403",1995-03-31,302,334,12,648,0.466049382716049,0.515432098765432
"404",1995-04-07,310,347,12,669,0.463378176382661,0.518684603886398
"405",1995-04-13,325,340,11,676,0.480769230769231,0.502958579881657
"406",1995-04-21,334,337,14,685,0.487591240875912,0.491970802919708
"407",1995-04-28,343,321,16,680,0.504411764705882,0.472058823529412
"408",1995-05-05,323,321,20,664,0.48644578313253,0.483433734939759
